session_id,scenario,ground_truth_label,rule_match,privilege_escalation_flag,security_process_killed,precursor_command_count,burst_seconds,burst_window_seconds,subscore_driver_reputation,subscore_privilege_escalation,subscore_process_kill,subscore_precursor_command,risk_score,sequence_alert,burst_score,burst_alert,alert,detection_reason,attack_start,detection_time,detection_delay_seconds
000bab15-d127-4a1b-a3d1-4b72c95ea289,partial_attack,attack,True,1,0,1,,5,1.0,1.0,0.0,0.3333333333333333,0.633,True,0.0,False,True,sequence,2026-09-02T07:06:30.724471+00:00,2026-09-02T07:06:30.724471+00:00,0.0
0011ee99-74fb-4334-89f5-6661d1de7d0f,classic_attack,attack,True,1,1,1,25.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.721369+00:00,2026-09-02T07:06:30.721369+00:00,0.0
0029511c-1afc-4b96-b178-203111e75eb2,delayed_attack,attack,True,1,1,1,45.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.735429+00:00,2026-09-02T07:06:30.735429+00:00,0.0
0037472b-8334-4c7a-aa36-3949ac7b462b,unknown_driver_attack,attack,False,1,1,1,4.0,5,0.0,1.0,1.0,0.3333333333333333,0.633,True,1.0,True,True,sequence,2026-09-02T07:06:30.714769+00:00,2026-09-02T07:06:30.714769+00:00,0.0
0053cfcd-d9b0-4ed7-afbc-9da8b31aee09,classic_attack,attack,True,1,1,1,25.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.717448+00:00,2026-09-02T07:06:30.717448+00:00,0.0
00f63f61-d174-4e21-a173-7fc8492277e9,benign_admin,benign,False,1,0,0,,5,0.0,1.0,0.0,0.0,0.3,False,0.0,False,False,,2026-09-02T07:06:30.728251+00:00,,
01009597-268b-4e23-bb0c-1998d76e5a31,unknown_driver_attack,attack,False,1,1,1,4.0,5,0.0,1.0,1.0,0.3333333333333333,0.633,True,1.0,True,True,sequence,2026-09-02T07:06:30.737993+00:00,2026-09-02T07:06:30.737993+00:00,0.0
015f239e-d3f4-46cb-a3d5-9a7cf3886c1d,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.717470+00:00,2026-09-02T07:06:30.717470+00:00,0.0
0193903a-fee9-4e40-a30f-069f44f33d18,delayed_attack,attack,True,1,1,1,45.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.726141+00:00,2026-09-02T07:06:30.726141+00:00,0.0
02655152-6ee3-490e-aca2-65405dc9925e,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.716577+00:00,2026-09-02T07:06:30.716577+00:00,0.0
026a7efc-3f17-41ec-964a-69b437d71c09,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.735683+00:00,2026-09-02T07:06:30.735683+00:00,0.0
02d5e198-9b89-4fa8-b2c6-bd2fdf6a2afd,unknown_driver_attack,attack,False,1,1,1,4.0,5,0.0,1.0,1.0,0.3333333333333333,0.633,True,1.0,True,True,sequence,2026-09-02T07:06:30.733041+00:00,2026-09-02T07:06:30.733041+00:00,0.0
02f5542f-ba16-4782-8947-f930c563ddad,benign_driver_admin,benign,False,1,0,0,,5,0.0,1.0,0.0,0.0,0.3,False,0.0,False,False,,2026-09-02T07:06:30.729899+00:00,,
035bfa5a-660c-4f41-aa67-83c3c39d05e0,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.730368+00:00,2026-09-02T07:06:30.730368+00:00,0.0
03693738-acf7-45f8-b379-e601cceb8985,delayed_attack,attack,True,1,1,1,45.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.720073+00:00,2026-09-02T07:06:30.720073+00:00,0.0
036be7f4-3b68-45c9-90ab-9827d3a1f90d,unknown_driver_attack,attack,False,1,1,1,4.0,5,0.0,1.0,1.0,0.3333333333333333,0.633,True,1.0,True,True,sequence,2026-09-02T07:06:30.733201+00:00,2026-09-02T07:06:30.733201+00:00,0.0
038d4c4e-afe0-45c9-89d2-aa4abcb9ccf7,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.728923+00:00,2026-09-02T07:06:30.728923+00:00,0.0
03c9b1d8-0e1e-4e0d-a660-445abe54a0ec,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.731577+00:00,2026-09-02T07:06:30.731577+00:00,0.0
0427c6f2-cf3f-4c9f-b6c4-e76a917138ce,collapsed_attack,attack,True,1,1,1,4.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,1.0,True,True,sequence,2026-09-02T07:06:30.739526+00:00,2026-09-02T07:06:30.739526+00:00,0.0
04451204-5533-4fd7-859f-cdb270953092,delayed_attack,attack,True,1,1,1,45.0,5,1.0,1.0,1.0,0.3333333333333333,0.933,True,0.0,False,True,sequence,2026-09-02T07:06:30.736722+00:00,2026-09-02T07:06:30.736722+00:00,0.0
